# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0           	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
0.001       	5.5374e+00	1.4165e+01	2.2905e+01	1.6990e+01	5.9151e+00
0.002       	3.5733e+01	3.5804e+01	1.1510e+02	9.3281e+01	2.1815e+01
0.003       	-1.1927e+01	-6.4311e+00	-2.2608e+01	-2.3231e+01	6.2311e-01
0.004       	-4.9373e+01	-4.1946e+01	-1.5346e+02	-1.2610e+02	-2.7359e+01
0.005       	-3.8717e+01	-3.6178e+01	-1.3820e+02	-1.0782e+02	-3.0383e+01
0.006       	5.9844e+00	-1.5938e+00	-1.4932e+01	-1.4818e+00	-1.3451e+01
0.007       	5.7315e+01	4.4124e+01	1.6773e+02	1.4118e+02	2.6550e+01
0.008       	5.3257e+01	4.9779e+01	1.9223e+02	1.4937e+02	4.2856e+01
0.009       	1.4742e+01	2.1118e+01	8.3773e+01	5.6629e+01	2.7144e+01
0.01        	-2.5015e+01	-2.0539e+01	-7.3525e+01	-6.1778e+01	-1.1747e+01
0.011       	-1.1693e+01	-1.2692e+01	-4.3164e+01	-3.3274e+01	-9.8893e+00
0.012       	5.8414e+00	2.8632e+00	1.1018e+01	1.1351e+01	-3.3228e-01
0.013       	1.6185e+01	1.3598e+01	4.6772e+01	3.9571e+01	7.2012e+00
0.014       	8.1884e+00	8.7962e+00	2.8173e+01	2.2275e+01	5.8983e+00
0.015       	-3.1118e+00	-1.1444e+00	-6.2260e+00	-6.2247e+00	-1.2382e-03
0.016       	-1.1035e+01	-8.9057e+00	-3.1396e+01	-2.6733e+01	-4.6633e+00
0.017       	-6.2003e+00	-5.9634e+00	-1.9596e+01	-1.5998e+01	-3.5978e+00
0.018       	3.1106e-01	-2.6943e-01	-2.1453e-01	2.0380e-01	-4.1833e-01
0.019       	7.8332e+00	6.5846e+00	2.2050e+01	1.8858e+01	3.1916e+00
0.02        	5.7747e+00	5.4965e+00	1.7201e+01	1.4375e+01	2.8259e+00
0.021       	1.3750e+00	1.7244e+00	4.4234e+00	3.5867e+00	8.3675e-01
0.022       	-5.5557e+00	-4.3601e+00	-1.5361e+01	-1.3236e+01	-2.1246e+00
0.023       	-5.0665e+00	-4.2574e+00	-1.4276e+01	-1.2205e+01	-2.0717e+00
0.024       	-1.8678e+00	-1.6157e+00	-5.2983e+00	-4.5170e+00	-7.8130e-01
0.025       	4.1794e+00	3.5121e+00	1.1525e+01	9.9420e+00	1.5833e+00
0.026       	4.5112e+00	4.0065e+00	1.2622e+01	1.0822e+01	1.7998e+00
0.027       	1.9582e+00	1.8933e+00	5.4900e+00	4.7032e+00	7.8676e-01
0.028       	-2.9420e+00	-2.2086e+00	-7.9929e+00	-6.9385e+00	-1.0544e+00
0.029       	-3.5715e+00	-2.8282e+00	-9.7132e+00	-8.4281e+00	-1.2851e+00
0.03        	-1.2361e+00	-8.7911e-01	-3.1420e+00	-2.8071e+00	-3.3494e-01
0.031       	1.8771e+00	1.7005e+00	5.3440e+00	4.5491e+00	7.9486e-01
0.032       	2.6816e+00	2.3460e+00	7.2807e+00	6.3220e+00	9.5875e-01
0.033       	9.5046e-01	9.0019e-01	2.3761e+00	2.1385e+00	2.3759e-01
0.034       	-8.2298e-01	-5.3409e-01	-2.2981e+00	-1.9720e+00	-3.2608e-01
0.035       	-1.6039e+00	-1.1202e+00	-4.0975e+00	-3.6527e+00	-4.4488e-01
0.036       	-6.4268e-01	-3.1853e-01	-1.3680e+00	-1.3267e+00	-4.1324e-02
0.037       	1.0697e-01	2.7600e-01	5.5482e-01	3.8437e-01	1.7044e-01
0.038       	1.1588e+00	1.0674e+00	3.0824e+00	2.7000e+00	3.8245e-01
0.039       	9.2227e-01	8.5092e-01	2.3132e+00	2.0789e+00	2.3433e-01
0.04        	3.3429e-01	3.9220e-01	8.2319e-01	7.4589e-01	7.7308e-02
0.041       	-4.6201e-01	-2.0898e-01	-1.1095e+00	-1.0168e+00	-9.2734e-02
0.042       	-7.7432e-01	-4.1987e-01	-1.7641e+00	-1.6564e+00	-1.0773e-01
0.043       	-3.1478e-01	-6.0007e-02	-5.7623e-01	-6.0289e-01	2.6665e-02
0.044       	1.8516e-01	3.0882e-01	6.1784e-01	4.9408e-01	1.2376e-01
