# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	1.4165e+01	9.5510e-20	2.2905e+01	-1.1452e+01	-1.2327e+01	7.0826e+00	-4.3698e+00	1.8535e+01	7.0826e+00	-7.0826e+00	-8.7432e-01	2.3779e+01
0.002       	3.3678e+01	-2.0707e-19	1.0384e+02	-5.1920e+01	-6.1611e+01	1.6839e+01	-3.5081e+01	6.8759e+01	1.6839e+01	-1.6839e+01	-9.6911e+00	1.1353e+02
0.003       	-2.5788e+00	-1.4445e-19	-1.1801e+01	5.9006e+00	1.1214e+01	-1.2894e+00	4.6112e+00	-7.1900e+00	-1.2894e+00	1.2894e+00	5.3137e+00	-1.7115e+01
0.004       	-3.4393e+01	1.0525e-20	-1.2033e+02	6.0164e+01	7.2263e+01	-1.7196e+01	4.2967e+01	-7.7360e+01	-1.7196e+01	1.7196e+01	1.2099e+01	-1.3243e+02
0.005       	-3.2320e+01	7.7852e-20	-1.0222e+02	5.1109e+01	5.8928e+01	-1.6160e+01	3.4949e+01	-6.7269e+01	-1.6160e+01	1.6160e+01	7.8194e+00	-1.1004e+02
0.006       	-2.1914e+01	8.8834e-20	-6.4233e+01	3.2117e+01	3.8593e+01	-1.0957e+01	2.1160e+01	-4.3073e+01	-1.0957e+01	1.0957e+01	6.4770e+00	-7.0710e+01
0.007       	1.0393e+01	1.8237e-20	3.3073e+01	-1.6537e+01	-2.0063e+01	5.1967e+00	-1.1340e+01	2.1733e+01	5.1967e+00	-5.1967e+00	-3.5262e+00	3.6599e+01
0.008       	1.9048e+01	-5.3911e-20	5.4579e+01	-2.7289e+01	-2.7423e+01	9.5238e+00	-1.7766e+01	3.6813e+01	9.5238e+00	-9.5238e+00	-1.3319e-01	5.4712e+01
0.009       	1.4806e+01	-5.8616e-20	4.0011e+01	-2.0005e+01	-1.9488e+01	7.4030e+00	-1.2602e+01	2.7408e+01	7.4030e+00	-7.4030e+00	5.1700e-01	3.9494e+01
0.01        	-1.1582e+01	-2.1845e-20	-3.9336e+01	1.9668e+01	2.3868e+01	-5.7909e+00	1.3877e+01	-2.5459e+01	-5.7909e+00	5.7909e+00	4.1998e+00	-4.3536e+01
0.011       	-1.8888e+01	2.2381e-20	-5.7936e+01	2.8968e+01	3.2383e+01	-9.4439e+00	1.9524e+01	-3.8412e+01	-9.4439e+00	9.4439e+00	3.4155e+00	-6.1351e+01
0.012       	-1.4515e+01	2.8105e-20	-4.2713e+01	2.1357e+01	2.3819e+01	-7.2577e+00	1.4099e+01	-2.8614e+01	-7.2577e+00	7.2577e+00	2.4618e+00	-4.5175e+01
0.013       	1.1494e+01	2.0481e-20	3.8795e+01	-1.9397e+01	-2.3479e+01	5.7468e+00	-1.3651e+01	2.5144e+01	5.7468e+00	-5.7468e+00	-4.0820e+00	4.2877e+01
0.014       	1.9282e+01	-3.6638e-21	6.0658e+01	-3.0329e+01	-3.5842e+01	9.6409e+00	-2.0688e+01	3.9970e+01	9.6409e+00	-9.6409e+00	-5.5134e+00	6.6171e+01
0.015       	1.1230e+01	-1.3105e-20	3.3555e+01	-1.6777e+01	-2.0081e+01	5.6152e+00	-1.1162e+01	2.2393e+01	5.6152e+00	-5.6152e+00	-3.3031e+00	3.6858e+01
0.016       	-9.3821e+00	-1.6662e-20	-3.2729e+01	1.6365e+01	1.9961e+01	-4.6911e+00	1.1674e+01	-2.1056e+01	-4.6911e+00	4.6911e+00	3.5961e+00	-3.6326e+01
0.017       	-1.5061e+01	-4.6971e-21	-4.9100e+01	2.4550e+01	3.0043e+01	-7.5307e+00	1.7019e+01	-3.2081e+01	-7.5307e+00	7.5307e+00	5.4931e+00	-5.4593e+01
0.018       	-7.0975e+00	4.8684e-21	-2.2157e+01	1.1079e+01	1.4069e+01	-3.5487e+00	7.5298e+00	-1.4627e+01	-3.5487e+00	3.5487e+00	2.9905e+00	-2.5148e+01
0.019       	7.3072e+00	1.2034e-20	2.4900e+01	-1.2450e+01	-1.5190e+01	3.6536e+00	-8.7966e+00	1.6104e+01	3.6536e+00	-3.6536e+00	-2.7396e+00	2.7640e+01
0.02        	1.1243e+01	6.4572e-21	3.6448e+01	-1.8224e+01	-2.2963e+01	5.6217e+00	-1.2603e+01	2.3846e+01	5.6217e+00	-5.6217e+00	-4.7389e+00	4.1187e+01
0.021       	4.5924e+00	-1.7217e-21	1.3812e+01	-6.9060e+00	-9.3349e+00	2.2962e+00	-4.6098e+00	9.2022e+00	2.2962e+00	-2.2962e+00	-2.4288e+00	1.6241e+01
0.022       	-3.2510e+00	-7.6451e-21	-1.1915e+01	5.9573e+00	7.0379e+00	-1.6255e+00	4.3318e+00	-7.5828e+00	-1.6255e+00	1.6255e+00	1.0806e+00	-1.2995e+01
0.023       	-7.4292e+00	-6.4549e-21	-2.4920e+01	1.2460e+01	1.6185e+01	-3.7146e+00	8.7455e+00	-1.6175e+01	-3.7146e+00	3.7146e+00	3.7252e+00	-2.8645e+01
0.024       	-3.2931e+00	9.5217e-23	-1.0655e+01	5.3277e+00	7.5100e+00	-1.6465e+00	3.6812e+00	-6.9743e+00	-1.6465e+00	1.6465e+00	2.1823e+00	-1.2838e+01
0.025       	1.5608e+00	4.1488e-21	5.2596e+00	-2.6298e+00	-2.8552e+00	7.8041e-01	-1.8494e+00	3.4102e+00	7.8041e-01	-7.8041e-01	-2.2535e-01	5.4850e+00
0.026       	4.9750e+00	4.3905e-21	1.6080e+01	-8.0401e+00	-1.0540e+01	2.4875e+00	-5.5526e+00	1.0528e+01	2.4875e+00	-2.4875e+00	-2.5001e+00	1.8580e+01
0.027       	2.9724e+00	3.7057e-22	9.0685e+00	-4.5342e+00	-6.4347e+00	1.4862e+00	-3.0480e+00	6.0204e+00	1.4862e+00	-1.4862e+00	-1.9005e+00	1.0969e+01
