# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	1.7506e-02	-2.2002e-23	3.8477e-02	-1.9239e-02	-2.1111e-02	8.7530e-03	-1.0486e-02	2.7992e-02	8.7530e-03	-8.7530e-03	-1.8724e-03	4.0349e-02
0.002       	8.3962e-01	-7.3916e-21	1.2831e+00	-6.4154e-01	-6.7535e-01	4.1981e-01	-2.2173e-01	1.0613e+00	4.1981e-01	-4.1981e-01	-3.3808e-02	1.3169e+00
0.003       	1.1210e+00	-6.6570e-21	2.4382e+00	-1.2191e+00	-1.3265e+00	5.6048e-01	-6.5861e-01	1.7796e+00	5.6048e-01	-5.6048e-01	-1.0739e-01	2.5456e+00
0.004       	2.2466e-01	9.9283e-22	7.5439e-01	-3.7719e-01	-3.6752e-01	1.1233e-01	-2.6486e-01	4.8952e-01	1.1233e-01	-1.1233e-01	9.6756e-03	7.4471e-01
0.005       	-5.2018e-01	5.7655e-21	-8.8188e-01	4.4094e-01	5.4442e-01	-2.6009e-01	1.8085e-01	-7.0103e-01	-2.6009e-01	2.6009e-01	1.0348e-01	-9.8536e-01
0.006       	-7.3914e-01	4.6097e-21	-1.8818e+00	9.4092e-01	1.1300e+00	-3.6957e-01	5.7136e-01	-1.3105e+00	-3.6957e-01	3.6957e-01	1.8907e-01	-2.0709e+00
0.007       	-1.9407e-01	-6.6652e-22	-7.7088e-01	3.8544e-01	4.2626e-01	-9.7034e-02	2.8841e-01	-4.8248e-01	-9.7034e-02	9.7034e-02	4.0823e-02	-8.1171e-01
0.008       	3.6218e-01	-3.6952e-21	8.0259e-01	-4.0129e-01	-4.8787e-01	1.8109e-01	-2.2020e-01	5.8239e-01	1.8109e-01	-1.8109e-01	-8.6581e-02	8.8917e-01
0.009       	6.9244e-01	-2.7946e-21	2.0888e+00	-1.0444e+00	-1.1656e+00	3.4622e-01	-6.9819e-01	1.3906e+00	3.4622e-01	-3.4622e-01	-1.2114e-01	2.2100e+00
0.01        	3.5252e-01	7.4895e-22	1.3120e+00	-6.5599e-01	-6.6609e-01	1.7626e-01	-4.7973e-01	8.3225e-01	1.7626e-01	-1.7626e-01	-1.0107e-02	1.3221e+00
0.011       	-9.6038e-02	2.7381e-21	-1.4454e-01	7.2272e-02	1.7733e-01	-4.8019e-02	2.4253e-02	-1.2029e-01	-4.8019e-02	4.8019e-02	1.0506e-01	-2.4960e-01
0.012       	-4.7451e-01	2.1517e-21	-1.6087e+00	8.0436e-01	9.5651e-01	-2.3726e-01	5.6710e-01	-1.0416e+00	-2.3726e-01	2.3726e-01	1.5215e-01	-1.7609e+00
0.013       	-3.1653e-01	-3.5766e-22	-1.2240e+00	6.1200e-01	6.6368e-01	-1.5827e-01	4.5373e-01	-7.7026e-01	-1.5827e-01	1.5827e-01	5.1680e-02	-1.2757e+00
0.014       	1.8827e-01	-1.4252e-21	4.4067e-01	-2.2033e-01	-2.4655e-01	9.4136e-02	-1.2620e-01	3.1447e-01	9.4136e-02	-9.4136e-02	-2.6215e-02	4.6688e-01
0.015       	6.0649e-01	-1.0657e-21	1.9629e+00	-9.8145e-01	-1.0367e+00	3.0325e-01	-6.7820e-01	1.2847e+00	3.0325e-01	-3.0325e-01	-5.5213e-02	2.0181e+00
0.016       	4.6682e-01	2.2291e-22	1.6445e+00	-8.2226e-01	-8.2297e-01	2.3341e-01	-5.8885e-01	1.0557e+00	2.3341e-01	-2.3341e-01	-7.0414e-04	1.6452e+00
0.017       	2.4556e-02	9.7672e-22	1.1256e-01	-5.6278e-02	3.3350e-02	1.2278e-02	-4.4000e-02	6.8556e-02	1.2278e-02	-1.2278e-02	8.9629e-02	2.2928e-02
0.018       	-2.8973e-01	8.8587e-22	-1.0744e+00	5.3721e-01	6.6592e-01	-1.4487e-01	3.9234e-01	-6.8207e-01	-1.4487e-01	1.4487e-01	1.2872e-01	-1.2031e+00
0.019       	-1.9511e-01	3.0995e-23	-8.5115e-01	4.2557e-01	4.9580e-01	-9.7555e-02	3.2802e-01	-5.2313e-01	-9.7555e-02	9.7555e-02	7.0229e-02	-9.2138e-01
0.02        	1.6993e-01	-5.0551e-22	4.0469e-01	-2.0234e-01	-2.0827e-01	8.4964e-02	-1.1738e-01	2.8731e-01	8.4964e-02	-8.4964e-02	-5.9265e-03	4.1062e-01
0.021       	2.8214e-01	-5.0972e-22	8.3408e-01	-4.1704e-01	-4.3567e-01	1.4107e-01	-2.7597e-01	5.5811e-01	1.4107e-01	-1.4107e-01	-1.8632e-02	8.5271e-01
0.022       	3.8834e-01	5.7702e-23	1.3203e+00	-6.6013e-01	-6.4608e-01	1.9417e-01	-4.6596e-01	8.5430e-01	1.9417e-01	-1.9417e-01	1.4042e-02	1.3062e+00
0.023       	2.1456e-01	4.9607e-22	7.3556e-01	-3.6778e-01	-2.9316e-01	1.0728e-01	-2.6050e-01	4.7506e-01	1.0728e-01	-1.0728e-01	7.4616e-02	6.6095e-01
0.024       	1.2840e-01	4.7608e-22	4.0481e-01	-2.0241e-01	-1.1946e-01	6.4202e-02	-1.3820e-01	2.6661e-01	6.4202e-02	-6.4202e-02	8.2942e-02	3.2187e-01
0.025       	-1.0047e-01	1.2131e-22	-5.6312e-01	2.8156e-01	3.7384e-01	-5.0236e-02	2.3132e-01	-3.3179e-01	-5.0236e-02	5.0236e-02	9.2282e-02	-6.5540e-01
0.026       	-5.8058e-02	-1.7369e-22	-4.4235e-01	2.2118e-01	2.6841e-01	-2.9029e-02	1.9215e-01	-2.5021e-01	-2.9029e-02	2.9029e-02	4.7239e-02	-4.8959e-01
0.027       	8.0826e-03	-1.5917e-22	-1.7994e-01	8.9970e-02	1.2784e-01	4.0413e-03	9.4012e-02	-8.5929e-02	4.0413e-03	-4.0413e-03	3.7870e-02	-2.1781e-01
0.028       	3.3443e-01	2.4411e-23	1.1189e+00	-5.5943e-01	-5.4029e-01	1.6722e-01	-3.9221e-01	7.2664e-01	1.6722e-01	-1.6722e-01	1.9134e-02	1.0997e+00
0.029       	3.7578e-01	2.2430e-22	1.3362e+00	-6.6809e-01	-6.3933e-01	1.8789e-01	-4.8020e-01	8.5598e-01	1.8789e-01	-1.8789e-01	2.8764e-02	1.3074e+00
0.03        	3.1811e-01	2.1654e-22	1.1031e+00	-5.5157e-01	-5.1794e-01	1.5905e-01	-3.9251e-01	7.1062e-01	1.5905e-01	-1.5905e-01	3.3629e-02	1.0695e+00
0.031       	-2.1274e-02	1.5912e-22	-3.0696e-01	1.5348e-01	2.4484e-01	-1.0637e-02	1.4285e-01	-1.6412e-01	-1.0637e-02	1.0637e-02	9.1360e-02	-3.9832e-01
0.032       	-1.2208e-01	2.8801e-23	-7.4313e-01	3.7157e-01	4.5948e-01	-6.1042e-02	3.1052e-01	-4.3261e-01	-6.1042e-02	6.1042e-02	8.7911e-02	-8.3104e-01
0.033       	-5.9576e-02	1.6632e-23	-4.8318e-01	2.4159e-01	3.2164e-01	-2.9788e-02	2.1180e-01	-2.7138e-01	-2.9788e-02	2.9788e-02	8.0052e-02	-5.6323e-01
0.034       	2.4044e-01	1.0893e-23	7.4347e-01	-3.7173e-01	-3.3873e-01	1.2022e-01	-2.5152e-01	4.9195e-01	1.2022e-01	-1.2022e-01	3.3003e-02	7.1047e-01
0.035       	4.2030e-01	8.3788e-23	1.5118e+00	-7.5588e-01	-7.5424e-01	2.1015e-01	-5.4573e-01	9.6603e-01	2.1015e-01	-2.1015e-01	1.6421e-03	1.5101e+00
0.036       	3.5010e-01	1.1454e-22	1.2311e+00	-6.1557e-01	-6.0874e-01	1.7505e-01	-4.4052e-01	7.9062e-01	1.7505e-01	-1.7505e-01	6.8339e-03	1.2243e+00
