# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	2.4024e-01	-3.0178e-22	5.2882e-01	-2.6441e-01	-2.9022e-01	1.2012e-01	-1.4429e-01	3.8453e-01	1.2012e-01	-1.2012e-01	-2.5808e-02	5.5463e-01
0.002       	9.3277e-01	-7.1677e-21	1.5353e+00	-7.6764e-01	-8.5117e-01	4.6638e-01	-3.0126e-01	1.2340e+00	4.6638e-01	-4.6638e-01	-8.3527e-02	1.6188e+00
0.003       	7.3808e-01	-6.3700e-21	1.5441e+00	-7.7207e-01	-8.3663e-01	3.6904e-01	-4.0303e-01	1.1411e+00	3.6904e-01	-3.6904e-01	-6.4560e-02	1.6087e+00
0.004       	-1.1603e-01	9.9858e-22	-5.4703e-02	2.7351e-02	1.0847e-01	-5.8015e-02	-3.0664e-02	-8.5366e-02	-5.8015e-02	5.8015e-02	8.1121e-02	-1.3582e-01
0.005       	-5.0909e-01	5.0637e-21	-8.4468e-01	4.2234e-01	5.5183e-01	-2.5454e-01	1.6780e-01	-6.7688e-01	-2.5454e-01	2.5454e-01	1.2949e-01	-9.7416e-01
0.006       	-6.1318e-01	3.9347e-21	-1.6455e+00	8.2273e-01	1.0090e+00	-3.0659e-01	5.1614e-01	-1.1293e+00	-3.0659e-01	3.0659e-01	1.8625e-01	-1.8317e+00
0.007       	-7.0310e-02	-7.0575e-22	-5.5832e-01	2.7916e-01	2.9299e-01	-3.5155e-02	2.4400e-01	-3.1431e-01	-3.5155e-02	3.5155e-02	1.3828e-02	-5.7214e-01
0.008       	4.4387e-01	-3.2701e-21	9.5954e-01	-4.7977e-01	-5.9071e-01	2.2194e-01	-2.5783e-01	7.0170e-01	2.2194e-01	-2.2194e-01	-1.1094e-01	1.0705e+00
0.009       	7.1017e-01	-2.2843e-21	2.1139e+00	-1.0569e+00	-1.1713e+00	3.5508e-01	-7.0186e-01	1.4120e+00	3.5508e-01	-3.5508e-01	-1.1434e-01	2.2282e+00
0.01        	3.1612e-01	7.2141e-22	1.1900e+00	-5.9499e-01	-5.6736e-01	1.5806e-01	-4.3693e-01	7.5305e-01	1.5806e-01	-1.5806e-01	2.7630e-02	1.1623e+00
0.011       	-1.4150e-01	2.1442e-21	-2.6035e-01	1.3018e-01	2.6902e-01	-7.0751e-02	5.9424e-02	-2.0093e-01	-7.0751e-02	7.0751e-02	1.3884e-01	-3.9919e-01
0.012       	-4.6721e-01	1.4475e-21	-1.5636e+00	7.8179e-01	9.6466e-01	-2.3361e-01	5.4818e-01	-1.0154e+00	-2.3361e-01	2.3361e-01	1.8287e-01	-1.7464e+00
