# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0           	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
0.001       	5.2250e-02	1.3546e-01	2.1651e-01	1.6050e-01	5.6003e-02
0.002       	1.0275e+00	1.0878e+00	3.6765e+00	2.8658e+00	8.1074e-01
0.003       	1.8664e-01	4.0547e-01	7.9947e-01	5.8638e-01	2.1309e-01
0.004       	-1.7626e-01	-1.8730e-01	-6.2610e-01	-4.8931e-01	-1.3679e-01
0.005       	-3.8208e-01	-4.2229e-01	-1.9954e+00	-1.3798e+00	-6.1561e-01
0.006       	-1.5095e-01	-1.7571e-01	-9.7248e-01	-6.3719e-01	-3.3529e-01
0.007       	2.4320e-01	8.0604e-02	4.9393e-01	4.9017e-01	3.7681e-03
0.008       	3.9651e-01	2.2465e-01	1.5471e+00	1.1701e+00	3.7704e-01
0.009       	1.3260e-01	1.9612e-01	1.1715e+00	7.1835e-01	4.5314e-01
0.01        	-2.0279e-01	5.0893e-02	-1.5399e-02	-2.1049e-01	1.9509e-01
0.011       	-2.6127e-01	-6.6835e-02	-8.6617e-01	-6.9435e-01	-1.7182e-01
0.012       	-1.1440e-01	-5.7390e-02	-7.8565e-01	-5.0723e-01	-2.7843e-01
0.013       	1.1801e-01	-9.9685e-04	-9.9350e-02	6.8335e-02	-1.6769e-01
0.014       	1.8349e-01	7.2203e-02	5.3729e-01	4.5213e-01	8.5154e-02
0.015       	1.4691e-01	1.0916e-01	6.4451e-01	4.6916e-01	1.7535e-01
0.016       	-1.4420e-01	5.3874e-02	2.0695e-01	-4.0727e-02	2.4768e-01
0.017       	-2.0716e-01	2.0909e-02	-1.7382e-01	-2.9407e-01	1.2025e-01
0.018       	-1.5417e-01	1.0194e-02	-2.2384e-01	-2.6609e-01	4.2249e-02
0.019       	1.7571e-01	1.1977e-01	1.5615e-01	2.5378e-01	-9.7630e-02
0.02        	2.3803e-01	1.1932e-01	3.1643e-01	3.9624e-01	-7.9812e-02
0.021       	1.8105e-01	1.0883e-01	3.2351e-01	3.4281e-01	-1.9297e-02
0.022       	-1.7113e-01	-1.1019e-02	2.0777e-02	-1.6075e-01	1.8152e-01
0.023       	-2.3874e-01	-2.9034e-02	-6.4613e-02	-2.7104e-01	2.0643e-01
0.024       	-1.1223e-01	3.4796e-02	4.4846e-02	-8.9807e-02	1.3465e-01
0.025       	1.5561e-01	1.7410e-01	3.3355e-01	3.2239e-01	1.1160e-02
0.026       	2.2675e-01	1.7380e-01	3.3423e-01	3.9386e-01	-5.9634e-02
0.027       	1.2305e-01	9.3247e-02	1.9618e-01	2.2114e-01	-2.4964e-02
0.028       	-8.0622e-02	-9.5932e-03	-9.2596e-04	-8.1085e-02	8.0159e-02
0.029       	-1.4637e-01	-3.8174e-03	4.5698e-02	-1.2352e-01	1.6922e-01
0.03        	-4.8904e-02	8.5910e-02	2.3209e-01	6.7139e-02	1.6495e-01
0.031       	8.8102e-02	1.6157e-01	3.6322e-01	2.6971e-01	9.3507e-02
0.032       	1.5009e-01	1.5821e-01	3.1569e-01	3.0793e-01	7.7554e-03
0.033       	8.2937e-02	8.9436e-02	1.6357e-01	1.6472e-01	-1.1535e-03
0.034       	4.0029e-02	6.8480e-02	1.4374e-01	1.1190e-01	3.1840e-02
0.035       	-6.0790e-02	4.3683e-02	1.4385e-01	1.1136e-02	1.3271e-01
0.036       	-4.2052e-02	8.3402e-02	2.6200e-01	8.8948e-02	1.7305e-01
0.037       	-1.4880e-02	9.9552e-02	2.8035e-01	1.2529e-01	1.5505e-01
0.038       	8.7298e-02	1.5353e-01	3.3189e-01	2.5324e-01	7.8647e-02
0.039       	1.3037e-01	1.5922e-01	3.1218e-01	2.8646e-01	2.5720e-02
0.04        	1.1532e-01	1.4525e-01	3.0071e-01	2.6567e-01	3.5035e-02
0.041       	5.7638e-02	1.0665e-01	2.7293e-01	1.9410e-01	7.8825e-02
0.042       	-2.9021e-03	7.3277e-02	2.4635e-01	1.2027e-01	1.2608e-01
0.043       	-2.5214e-02	6.6935e-02	2.4037e-01	9.4971e-02	1.4540e-01
0.044       	-2.0956e-02	7.8799e-02	2.5581e-01	1.0695e-01	1.4886e-01
0.045       	2.2049e-02	1.2036e-01	3.1413e-01	1.7912e-01	1.3502e-01
0.046       	7.9185e-02	1.6164e-01	3.8803e-01	2.7320e-01	1.1483e-01
0.047       	1.0696e-01	1.7416e-01	4.2376e-01	3.1884e-01	1.0492e-01
0.048       	1.1227e-01	1.7090e-01	4.2685e-01	3.2569e-01	1.0116e-01
0.049       	9.7585e-02	1.4860e-01	4.0374e-01	2.9945e-01	1.0428e-01
0.05        	5.7269e-02	1.1191e-01	3.4682e-01	2.3068e-01	1.1614e-01
0.051       	1.4148e-02	8.4277e-02	2.8449e-01	1.5639e-01	1.2810e-01
0.052       	-1.3933e-03	8.2318e-02	2.6801e-01	1.3261e-01	1.3540e-01
0.053       	4.3388e-03	9.6416e-02	2.8724e-01	1.4796e-01	1.3928e-01
0.054       	2.6293e-02	1.2098e-01	3.2878e-01	1.9069e-01	1.3810e-01
0.055       	5.5751e-02	1.4757e-01	3.7756e-01	2.4453e-01	1.3303e-01
0.056       	7.7032e-02	1.6288e-01	4.1031e-01	2.8219e-01	1.2812e-01
0.057       	7.9038e-02	1.5967e-01	4.0886e-01	2.8347e-01	1.2539e-01
0.058       	6.2710e-02	1.4172e-01	3.7678e-01	2.5110e-01	1.2568e-01
0.059       	3.6619e-02	1.1883e-01	3.3115e-01	2.0219e-01	1.2896e-01
0.06        	1.2676e-02	1.0094e-01	2.9139e-01	1.5837e-01	1.3302e-01
0.061       	-3.5932e-03	9.1205e-02	2.6262e-01	1.2772e-01	1.3490e-01
