# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0.062       	8.8106e-02	1.7590e-01	2.9604e-01	2.3613e-01	5.9916e-02
0.063       	1.1297e-01	1.9930e-01	3.8859e-01	3.0727e-01	8.1321e-02
0.064       	1.8449e-01	2.7680e-01	6.3207e-01	5.0052e-01	1.3155e-01
0.065       	2.0167e-01	2.9834e-01	6.8255e-01	5.4295e-01	1.3960e-01
0.066       	2.4870e-01	3.4815e-01	8.2035e-01	6.5887e-01	1.6147e-01
0.067       	2.5330e-01	3.4670e-01	8.3098e-01	6.6879e-01	1.6219e-01
0.068       	1.5292e-01	2.7791e-01	6.0334e-01	4.5460e-01	1.4875e-01
0.069       	1.4726e-01	2.6798e-01	5.9786e-01	4.4619e-01	1.5167e-01
0.07        	1.3437e-01	2.6335e-01	5.6741e-01	4.1808e-01	1.4933e-01
0.071       	-1.8071e-01	-2.8586e-02	-5.4167e-01	-4.5154e-01	-9.0128e-02
0.072       	-1.8033e-01	-2.6462e-02	-5.4951e-01	-4.5509e-01	-9.4427e-02
0.073       	-1.5653e-01	-7.1171e-03	-4.9474e-01	-4.0390e-01	-9.0839e-02
0.074       	-1.0475e-01	2.7306e-02	-3.4047e-01	-2.7498e-01	-6.5488e-02
0.075       	-7.8786e-02	4.5391e-02	-2.5063e-01	-2.0410e-01	-4.6530e-02
0.076       	5.8052e-01	6.4957e-01	1.9992e+00	1.5801e+00	4.1908e-01
0.077       	5.7768e-01	6.5304e-01	2.0003e+00	1.5778e+00	4.2248e-01
0.078       	5.5757e-01	6.4132e-01	1.9384e+00	1.5268e+00	4.1161e-01
0.079       	-2.8355e-01	-1.0924e-01	-8.8023e-01	-7.2366e-01	-1.5656e-01
0.08        	-2.9581e-01	-1.2416e-01	-9.2908e-01	-7.6035e-01	-1.6873e-01
0.081       	-2.9780e-01	-1.4085e-01	-9.5475e-01	-7.7517e-01	-1.7958e-01
0.082       	-2.5221e-01	-1.1217e-01	-7.9350e-01	-6.4897e-01	-1.4454e-01
0.083       	-9.0164e-02	4.6317e-02	-2.3410e-01	-2.0721e-01	-2.6887e-02
0.084       	-6.2960e-02	7.8910e-02	-1.3707e-01	-1.3149e-01	-5.5752e-03
0.085       	-2.9427e-02	1.1839e-01	-2.7787e-02	-4.3320e-02	1.5533e-02
0.086       	1.5572e-01	2.9223e-01	5.8372e-01	4.4758e-01	1.3614e-01
0.087       	1.9021e-01	3.2011e-01	6.9522e-01	5.3782e-01	1.5740e-01
0.088       	2.0993e-01	3.3287e-01	7.6224e-01	5.9105e-01	1.7120e-01
0.089       	2.2563e-01	3.4440e-01	8.1117e-01	6.3121e-01	1.7996e-01
0.09        	2.6263e-01	3.7248e-01	9.2311e-01	7.2418e-01	1.9893e-01
0.091       	2.6446e-01	3.7484e-01	9.2331e-01	7.2612e-01	1.9719e-01
0.092       	2.5967e-01	3.6874e-01	9.0369e-01	7.1151e-01	1.9218e-01
0.093       	2.1168e-01	3.1561e-01	7.3427e-01	5.7881e-01	1.5546e-01
0.094       	1.9067e-01	2.9395e-01	6.6854e-01	5.2494e-01	1.4360e-01
0.095       	9.4273e-02	2.0665e-01	3.6128e-01	2.7491e-01	8.6369e-02
0.096       	6.9065e-02	1.8818e-01	2.8071e-01	2.0942e-01	7.1292e-02
0.097       	3.0148e-02	1.5792e-01	1.5851e-01	1.0940e-01	4.9105e-02
0.098       	9.0226e-03	1.4060e-01	9.3518e-02	5.5782e-02	3.7736e-02
0.099       	-4.6101e-02	9.3099e-02	-7.1752e-02	-8.1978e-02	1.0225e-02
0.1         	-5.8892e-02	8.0600e-02	-1.1010e-01	-1.1394e-01	3.8413e-03
0.101       	-6.7658e-02	7.5503e-02	-1.3966e-01	-1.3749e-01	-2.1702e-03
0.102       	-7.2279e-02	7.6818e-02	-1.5468e-01	-1.4962e-01	-5.0632e-03
0.103       	-7.3345e-02	8.3246e-02	-1.6126e-01	-1.5397e-01	-7.2832e-03
0.104       	-3.2889e-02	1.3668e-01	-4.1018e-02	-5.3398e-02	1.2380e-02
0.105       	-2.1685e-02	1.4623e-01	-4.5878e-03	-2.3979e-02	1.9391e-02
0.106       	-5.4897e-03	1.5703e-01	4.8628e-02	1.8824e-02	2.9804e-02
0.107       	1.9881e-02	1.7515e-01	1.2899e-01	8.4378e-02	4.4615e-02
0.108       	4.7647e-02	1.9619e-01	2.1731e-01	1.5630e-01	6.1006e-02
0.109       	1.7498e-01	2.9347e-01	6.1708e-01	4.8352e-01	1.3356e-01
0.11        	1.8974e-01	3.0536e-01	6.6254e-01	5.2101e-01	1.4154e-01
0.111       	1.9806e-01	3.1222e-01	6.8548e-01	5.4080e-01	1.4468e-01
0.112       	2.0041e-01	3.1299e-01	6.9479e-01	5.4780e-01	1.4699e-01
0.113       	1.9785e-01	3.0876e-01	6.8743e-01	5.4156e-01	1.4586e-01
0.114       	1.8688e-01	2.9863e-01	6.5900e-01	5.1638e-01	1.4262e-01
0.115       	1.2949e-01	2.4967e-01	4.8712e-01	3.7306e-01	1.1407e-01
0.116       	1.0817e-01	2.3473e-01	4.2415e-01	3.2024e-01	1.0391e-01
0.117       	8.8060e-02	2.1984e-01	3.6214e-01	2.6913e-01	9.3012e-02
0.118       	7.2069e-02	2.0843e-01	3.1151e-01	2.2782e-01	8.3687e-02
0.119       	5.4798e-02	1.9279e-01	2.5739e-01	1.8349e-01	7.3897e-02
0.12        	3.8916e-02	1.7771e-01	2.0683e-01	1.4233e-01	6.4500e-02
0.121       	-2.4741e-02	1.2325e-01	9.9174e-03	-1.9782e-02	2.9699e-02
0.122       	-3.6217e-02	1.1524e-01	-2.6541e-02	-4.9488e-02	2.2947e-02
0.123       	-4.4381e-02	1.1208e-01	-5.3138e-02	-7.0950e-02	1.7812e-02
0.124       	-4.5671e-02	1.1334e-01	-6.1504e-02	-7.6423e-02	1.4919e-02
0.125       	-4.2124e-02	1.1750e-01	-5.3744e-02	-6.8996e-02	1.5252e-02
0.126       	-3.3851e-02	1.2359e-01	-2.9614e-02	-4.8658e-02	1.9044e-02
0.127       	-2.0004e-02	1.3402e-01	1.1481e-02	-1.4264e-02	2.5745e-02
0.128       	-3.2936e-03	1.4709e-01	6.1065e-02	2.7239e-02	3.3826e-02
0.129       	1.5896e-02	1.6442e-01	1.1682e-01	7.4308e-02	4.2516e-02
0.13        	4.1757e-02	1.8809e-01	1.9187e-01	1.3769e-01	5.4179e-02
0.131       	7.4606e-02	2.1739e-01	2.9218e-01	2.2070e-01	7.1484e-02
0.132       	1.0078e-01	2.4015e-01	3.7412e-01	2.8784e-01	8.6274e-02
0.133       	1.3123e-01	2.6606e-01	4.7138e-01	3.6692e-01	1.0446e-01
0.134       	1.5749e-01	2.8869e-01	5.5839e-01	4.3669e-01	1.2170e-01
0.135       	1.7141e-01	3.0057e-01	6.0522e-01	4.7402e-01	1.3120e-01
0.136       	1.7879e-01	3.0741e-01	6.3319e-01	4.9539e-01	1.3780e-01
0.137       	1.8563e-01	3.1408e-01	6.6460e-01	5.1793e-01	1.4667e-01
0.138       	1.8322e-01	3.1238e-01	6.6077e-01	5.1360e-01	1.4717e-01
0.139       	1.7514e-01	3.0475e-01	6.3773e-01	4.9400e-01	1.4373e-01
0.14        	1.5105e-01	2.8232e-01	5.6266e-01	4.3238e-01	1.3028e-01
0.141       	1.2695e-01	2.6047e-01	4.8952e-01	3.7170e-01	1.1781e-01
0.142       	1.0335e-01	2.3996e-01	4.1635e-01	3.1153e-01	1.0482e-01
0.143       	7.7065e-02	2.1767e-01	3.3600e-01	2.4507e-01	9.0937e-02
0.144       	4.3770e-02	1.8890e-01	2.2808e-01	1.5781e-01	7.0269e-02
0.145       	2.8086e-02	1.7484e-01	1.7559e-01	1.1588e-01	5.9709e-02
0.146       	1.7414e-02	1.6503e-01	1.3732e-01	8.6074e-02	5.1246e-02
