# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0           	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
0.001       	5.2474e-02	1.3601e-01	2.1743e-01	1.6119e-01	5.6243e-02
0.002       	3.9601e-01	7.5843e-01	1.4025e+00	1.0973e+00	3.0524e-01
0.003       	1.0505e-01	3.7183e-01	5.0471e-01	3.5741e-01	1.4730e-01
0.004       	-1.3036e-01	-1.7733e-01	-4.1794e-01	-3.3932e-01	-7.8614e-02
0.005       	-2.5191e-01	-3.7934e-01	-7.1807e-01	-6.1094e-01	-1.0712e-01
0.006       	-4.9063e-02	-1.2256e-01	-5.9260e-02	-7.8693e-02	1.9433e-02
0.007       	2.2555e-01	1.4951e-01	4.2826e-01	4.3968e-01	-1.1422e-02
0.008       	2.1293e-01	2.3033e-01	4.7436e-01	4.5011e-01	2.4255e-02
0.009       	-7.7522e-02	7.8043e-02	-4.7853e-02	-1.0145e-01	5.3595e-02
0.01        	-2.2239e-01	-5.1424e-02	-2.6758e-01	-3.5618e-01	8.8607e-02
0.011       	-6.5950e-02	-5.1560e-02	-6.2732e-02	-9.7316e-02	3.4584e-02
0.012       	1.1994e-01	6.5892e-02	2.8671e-01	2.6330e-01	2.3412e-02
0.013       	1.5503e-01	8.5999e-02	2.3974e-01	2.7490e-01	-3.5158e-02
0.014       	4.2663e-02	6.6763e-02	9.8857e-02	9.2091e-02	6.7657e-03
0.015       	-2.3523e-02	2.9871e-02	-3.4129e-02	-4.0588e-02	6.4588e-03
0.016       	-1.3586e-01	2.0575e-03	-4.4690e-02	-1.5820e-01	1.1351e-01
0.017       	-6.3248e-02	4.2027e-02	1.2114e-01	-2.6763e-03	1.2382e-01
0.018       	-7.9785e-03	6.9362e-02	2.0604e-01	9.5044e-02	1.1100e-01
0.019       	1.6863e-01	1.5824e-01	3.3540e-01	3.3633e-01	-9.2785e-04
0.02        	1.2416e-01	1.0626e-01	1.6712e-01	2.0772e-01	-4.0595e-02
0.021       	7.4445e-02	7.6474e-02	1.0993e-01	1.2941e-01	-1.9480e-02
0.022       	-1.6317e-01	-5.5105e-02	-1.4468e-01	-2.3550e-01	9.0826e-02
0.023       	-1.3566e-01	-2.6711e-02	7.1471e-04	-1.3530e-01	1.3602e-01
0.024       	-2.4899e-02	5.9533e-02	1.7810e-01	6.4151e-02	1.1395e-01
0.025       	1.5665e-01	2.1015e-01	4.5859e-01	3.8595e-01	7.2640e-02
0.026       	1.6360e-01	1.8894e-01	3.4823e-01	3.3771e-01	1.0519e-02
0.027       	6.6230e-02	8.9330e-02	1.5085e-01	1.4166e-01	9.1954e-03
0.028       	-8.9903e-02	-3.2054e-02	-9.6712e-02	-1.3826e-01	4.1547e-02
0.029       	-1.2656e-01	-2.9779e-02	-5.5230e-02	-1.5417e-01	9.8943e-02
0.03        	-2.9584e-02	7.6564e-02	1.8928e-01	6.5055e-02	1.2422e-01
0.031       	7.9816e-02	1.6597e-01	3.6366e-01	2.6165e-01	1.0202e-01
0.032       	1.2859e-01	1.7906e-01	3.7477e-01	3.1598e-01	5.8791e-02
0.033       	6.0431e-02	1.0251e-01	1.9585e-01	1.5836e-01	3.7494e-02
