# Force coefficients
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# sideDir   : (0.0000e+00 0.0000e+00 -1.0000e+00)
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# rollAxis  : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (0.0000e+00 0.0000e+00 -1.0000e+00)
# yawAxis   : (0.0000e+00 1.0000e+00 0.0000e+00)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
#
# Time      	Cd          	Cs          	Cl          	CmRoll      	CmPitch     	CmYaw       	Cd(f)       	Cd(r)       	Cs(f)       	Cs(r)       	Cl(f)       	Cl(r)       
0.001       	2.3552e+00	-2.9834e-21	5.1830e+00	-2.5915e+00	-2.8445e+00	1.1776e+00	-1.4139e+00	3.7691e+00	1.1776e+00	-1.1776e+00	-2.5304e-01	5.4360e+00
0.002       	9.4374e-02	-6.9744e-21	-1.0841e+00	5.4205e-01	5.0416e-02	4.7187e-02	5.8924e-01	-4.9486e-01	4.7187e-02	-4.7187e-02	-4.9164e-01	-5.9247e-01
0.003       	-1.9965e+00	-3.5009e-21	-4.3592e+00	2.1796e+00	2.3045e+00	-9.9827e-01	1.1813e+00	-3.1779e+00	-9.9827e-01	9.9827e-01	1.2487e-01	-4.4841e+00
0.004       	-2.9442e+00	1.4243e-21	-5.7299e+00	2.8650e+00	2.9667e+00	-1.4721e+00	1.3929e+00	-4.3371e+00	-1.4721e+00	1.4721e+00	1.0171e-01	-5.8316e+00
0.005       	-3.3305e-01	3.8841e-21	5.0108e-02	-2.5054e-02	3.3657e-01	-1.6652e-01	-1.9158e-01	-1.4147e-01	-1.6652e-01	1.6652e-01	3.6163e-01	-3.1152e-01
0.006       	3.2900e+00	4.4378e-21	9.4026e+00	-4.7013e+00	-3.5494e+00	1.6450e+00	-3.0563e+00	6.3463e+00	1.6450e+00	-1.6450e+00	1.1519e+00	8.2507e+00
0.007       	5.8067e+00	3.9464e-21	1.8613e+01	-9.3066e+00	-6.7422e+00	2.9034e+00	-6.4033e+00	1.2210e+01	2.9034e+00	-2.9034e+00	2.5644e+00	1.6049e+01
0.008       	3.4142e+00	2.3558e-21	1.1738e+01	-5.8690e+00	-4.3192e+00	1.7071e+00	-4.1619e+00	7.5761e+00	1.7071e+00	-1.7071e+00	1.5499e+00	1.0188e+01
0.009       	-4.6120e-02	-9.0444e-22	4.8606e-01	-2.4303e-01	-7.6421e-01	-2.3060e-02	-2.6609e-01	2.1997e-01	-2.3060e-02	2.3060e-02	-5.2118e-01	1.0072e+00
0.01        	-1.8349e+00	-1.7183e-21	-5.5536e+00	2.7768e+00	1.2019e+00	-9.1744e-01	1.8594e+00	-3.6942e+00	-9.1744e-01	9.1744e-01	-1.5749e+00	-3.9787e+00
0.011       	-5.6644e-01	-2.3708e-22	-2.3371e+00	1.1685e+00	2.7625e-01	-2.8322e-01	8.8531e-01	-1.4518e+00	-2.8322e-01	2.8322e-01	-8.9228e-01	-1.4448e+00
0.012       	1.4769e+00	1.8048e-21	3.4690e+00	-1.7345e+00	-1.1422e+00	7.3847e-01	-9.9605e-01	2.4730e+00	7.3847e-01	-7.3847e-01	5.9229e-01	2.8768e+00
0.013       	2.6854e+00	2.2240e-21	6.9675e+00	-3.4837e+00	-2.3046e+00	1.3427e+00	-2.1410e+00	4.8264e+00	1.3427e+00	-1.3427e+00	1.1791e+00	5.7883e+00
0.014       	2.3712e+00	1.0343e-21	6.5601e+00	-3.2800e+00	-2.7170e+00	1.1856e+00	-2.0945e+00	4.4656e+00	1.1856e+00	-1.1856e+00	5.6307e-01	5.9970e+00
0.015       	1.6197e+00	-2.0739e-22	4.4822e+00	-2.2411e+00	-2.5646e+00	8.0984e-01	-1.4312e+00	3.0509e+00	8.0984e-01	-8.0984e-01	-3.2352e-01	4.8057e+00
0.016       	6.6626e-01	-7.5173e-22	2.5612e+00	-1.2806e+00	-2.2695e+00	3.3313e-01	-9.4749e-01	1.6138e+00	3.3313e-01	-3.3313e-01	-9.8887e-01	3.5501e+00
